字段1,字段2,字段3
600563,更多央视财经50 ;元器件 ;超级电容 ;融资融券 ;新能源汽车 ;沪股通 ;转融券标的 ;证金持股 ;机构重仓,法拉电子
600563,,法拉电子
300237,更多橡胶 ;深股通 ;节能环保 ;美丽中国 ;PPP概念 ;宝能系 ;园林开发 ;股权转让,美晨生态
"300237,300237,300237,300237,300237,300237,300237,300237,300237,300237,300237,300237,300237,300237,300237,300237,300237,300237,300237,300237,300237,300237,300237,300237,300237,300237,300237,300237",,"美晨生态,美晨生态,美晨生态,美晨生态,美晨生态,美晨生态,美晨生态,美晨生态,美晨生态,美晨生态,美晨生态,美晨生态,美晨生态,美晨生态,美晨生态,美晨生态,美晨生态,美晨生态,美晨生态,美晨生态,美晨生态,美晨生态,美晨生态,美晨生态,美晨生态,美晨生态,美晨生态,美晨生态"
300455,高铁 ;高端装备 ;军工,康拓红外
"300455,300455",,"康拓红外,康拓红外"
600115,更多航空租赁 ;油价下调 ;春运 ;MSCI概念 ;大飞机 ;3D打印 ;跨境电商 ;迪士尼 ;浦东新区 ;央企控股 ;上海自贸区 ;通用航空 ;融资融券 ;沪股通 ;转融券标的 ;电子商务 ;大消费 ;互联网+ ;人民币升值 ;央企国资改革 ;机构重仓,东方航空
"600115,600115,600115,600115",,"东方航空,东方航空,东方航空,东方航空"
300482,更多生物医药 ;分子诊断 ;抗癌 ;医学影像 ;深股通 ;基因测序 ;体外诊断 ;医疗器械概念 ;芬太尼 ;工业大麻,万孚生物
"300482,300482,300482,300482,300482,300482,300482,300482,300482",,"万孚生物,万孚生物,万孚生物,万孚生物,万孚生物,万孚生物,万孚生物,万孚生物,万孚生物"
600269,更多交通示范区 ;参股券商 ;鄱阳湖经济区 ;融资融券 ;转融券标的 ;地方国资改革 ;核电,赣粤高速
"600269,600269,600269",,"赣粤高速,赣粤高速,赣粤高速"
601200,更多垃圾发电 ;污水处理 ;沪股通 ;地方国资改革 ;PPP概念 ;上海国资改革 ;固废处理 ;节能环保,上海环境
"601200,601200",,"上海环境,上海环境"
600546,更多涉矿 ;物流电商平台 ;山西国资改革 ;地方国资改革 ;证金持股,山煤国际
"600546,600546,600546,600546,600546,600546,600546",,"山煤国际,山煤国际,山煤国际,山煤国际,山煤国际,山煤国际,山煤国际"
300461,工业4.0 ;口罩 ;无线充电 ;长三角一体化,田中精机
"300461,300461,300461,300461,300461,300461,300461",,"田中精机,田中精机,田中精机,田中精机,田中精机,田中精机,田中精机"
000923,更多涉矿 ;铜 ;京津冀一体化 ;创投 ;冬奥会 ;挖掘机 ;体育产业 ;铜冶炼 ;中非合作 ;地方国资改革 ;雄安基建 ;雄安新区 ;铁矿石 ;冰雪产业,河北宣工
"000923,000923,000923",,"河北宣工,河北宣工,河北宣工"
002519,更多数字电视 ;阅兵 ;三网融合 ;智能电网 ;航天军工 ;充电桩 ;军民融合 ;军工 ;成泉资本持股 ;新能源汽车 ;新基建 ;商誉减值 ;超清视频,银河电子
002519,,银河电子
002256,更多华为概念 ;无人驾驶 ;空气净化 ;充电桩 ;聚乳酸 ;能源互联网 ;共享单车 ;深股通 ;锂电原料 ;可降解塑料 ;盐湖提锂 ;锂电池 ;光伏概念,兆新股份
"002256,002256,002256,002256,002256,002256,002256,002256,002256,002256,002256",,"兆新股份,兆新股份,兆新股份,兆新股份,兆新股份,兆新股份,兆新股份,兆新股份,兆新股份,兆新股份,兆新股份"
603677,新能源汽车 ;家用电器,奇精机械
603677,,奇精机械
002163,更多工业用地 ;幕墙 ;建筑节能 ;光伏玻璃 ;特种玻璃 ;中航系 ;央企国资改革,中航三鑫
"002163,002163,002163,002163,002163",,"中航三鑫,中航三鑫,中航三鑫,中航三鑫,中航三鑫"
300649,雄安新区 ;杭州亚运会 ;园林开发,杭州园林
"300649,300649,300649",,"杭州园林,杭州园林,杭州园林"
002337,更多天津自贸区 ;工业机器人 ;证金持股 ;机器人概念 ;工业大麻,赛象科技
"002337,002337,002337",,"赛象科技,赛象科技,赛象科技"
603105,光伏概念 ;新股与次新股 ;长三角一体化,芯能科技
603105,,芯能科技
002403,更多互联网保险 ;空气净化 ;土地流转 ;家用电器 ;新零售 ;工业机器人 ;互联网+ ;机器人概念 ;独角兽概念,爱仕达
"002403,002403,002403",,"爱仕达,爱仕达,爱仕达"
603326,全屋定制,我乐家居
603168,生物医药 ;中医药 ;眼科医疗,莎普爱思
603168,,莎普爱思
600508,稀缺资源 ;涉矿,上海能源
300195,更多参股新三板 ;机器人概念 ;工业机器人 ;云印刷 ;工业4.0 ;集成电路概念 ;科创板预期 ;柔性屏,长荣股份
"300195,300195,300195,300195,300195",,"长荣股份,长荣股份,长荣股份,长荣股份,长荣股份"
002083,更多多晶硅 ;二胎概念 ;低碳 ;人民币贬值受益 ;军工 ;一带一路 ;创投,孚日股份
"002083,002083,002083,002083,002083,002083,002083,002083",,"孚日股份,孚日股份,孚日股份,孚日股份,孚日股份,孚日股份,孚日股份,孚日股份"
000545,钛白粉,金浦钛业
"000545,000545,000545,000545",,"金浦钛业,金浦钛业,金浦钛业,金浦钛业"
603588,更多一带一路 ;美丽中国 ;铟 ;沪股通 ;土壤修复 ;垃圾发电 ;污水处理 ;固废处理 ;节能环保 ;PPP概念 ;年报预增,高能环境
"603588,603588,603588,603588,603588,603588,603588,603588,603588,603588,603588,603588,603588",,"高能环境,高能环境,高能环境,高能环境,高能环境,高能环境,高能环境,高能环境,高能环境,高能环境,高能环境,高能环境,高能环境"
603555,更多参股保险 ;体育产业 ;京东概念 ;足球概念 ;证金持股 ;冰雪产业,贵人鸟
"603555,603555,603555,603555",,"贵人鸟,贵人鸟,贵人鸟,贵人鸟"
300257,更多冷链物流 ;融资融券 ;深股通 ;转融券标的 ;地热能,开山股份
"300257,300257,300257,300257",,"开山股份,开山股份,开山股份,开山股份"
300190,更多危废处理 ;美丽中国 ;低碳 ;污水处理 ;PPP概念 ;土壤修复 ;节能环保 ;固废处理 ;年报预增,维尔利
"300190,300190,300190,300190,300190,300190,300190,300190,300190,300190,300190,300190,300190,300190,300190",,"维尔利,维尔利,维尔利,维尔利,维尔利,维尔利,维尔利,维尔利,维尔利,维尔利,维尔利,维尔利,维尔利,维尔利,维尔利"
000739,更多手足口病 ;达菲 ;抗癌 ;抗艾滋病 ;核污染防治 ;融资融券 ;深股通 ;转融券标的 ;医保目录 ;猪瘟疫情 ;禽流感 ;创新药 ;流感 ;超级真菌,普洛药业
"000739,000739,000739,000739",,"普洛药业,普洛药业,普洛药业,普洛药业"
600854,锂电池 ;家用电器 ;年报预增,春兰股份
000953,更多东盟北部湾 ;ST板块 ;硫磺 ;尿素 ;壳资源 ;煤化工,*ST河化
"000953,000953,000953,000953,000953,000953,000953",,"*ST河化,*ST河化,*ST河化,*ST河化,*ST河化,*ST河化,*ST河化"
002278,更多页岩气 ;海洋经济 ;壳资源 ;可燃冰 ;年报预增,神开股份
"002278,002278,002278,002278,002278,002278",,"神开股份,神开股份,神开股份,神开股份,神开股份,神开股份"
600823,更多参股券商 ;二胎概念 ;幼儿教育 ;融资融券 ;沪股通 ;转融券标的 ;机构重仓,世茂股份
"600823,600823",,"世茂股份,世茂股份"
002546,能源互联网 ;智能电网 ;电力物联网,新联电子
002546,,新联电子
002493,更多PTA ;油品改革 ;MSCI概念 ;融资融券 ;深股通 ;转融券标的 ;涤纶 ;机构重仓,荣盛石化
"002493,002493,002493",,"荣盛石化,荣盛石化,荣盛石化"
300516,军民融合 ;海工装备 ;军工 ;央企国资改革,久之洋
"300516,300516",,"久之洋,久之洋"
603283,更多工业4.0 ;苹果概念 ;沪股通 ;芯片封装测试 ;芯片概念,赛腾股份
"603283,603283,603283,603283,603283,603283,603283,603283,603283,603283",,"赛腾股份,赛腾股份,赛腾股份,赛腾股份,赛腾股份,赛腾股份,赛腾股份,赛腾股份,赛腾股份,赛腾股份"
000557,更多葡萄酒替白酒 ;生态农业 ;年报预增 ;一带一路 ;外资券商影子股,西部创业
"000557,000557",,"西部创业,西部创业"
000408,更多金属镁 ;盐湖提锂 ;锂电原料 ;白马股 ;小金属概念 ;锂电池 ;新能源汽车,藏格控股
000408,,藏格控股
600477,更多新型城镇化 ;杭州湾大湾区 ;线材 ;棚户区改造 ;空中巴士 ;雄安新区 ;杭州亚运会 ;钢结构 ;沪股通 ;工程建材 ;绿色建筑 ;一带一路 ;装配式建筑,杭萧钢构
